global_step,episode,episode_return,episode_length,policy_loss,value_loss,entropy,kl,eval_return
11,0,11.0,11,,,,,
23,1,12.0,12,,,,,
40,2,17.0,17,,,,,
64,3,24.0,24,,,,,
82,4,18.0,18,,,,,
100,5,18.0,18,,,,,
125,6,25.0,25,,,,,
141,7,16.0,16,,,,,
150,8,9.0,9,,,,,
165,9,15.0,15,,,,,
179,10,14.0,14,,,,,
198,11,19.0,19,,,,,
215,12,17.0,17,,,,,
256,13,41.0,41,,,,,
291,14,35.0,35,,,,,
304,15,13.0,13,,,,,
346,16,42.0,42,,,,,
446,17,100.0,100,,,,,
463,18,17.0,17,,,,,
480,19,17.0,17,,,,,
515,20,35.0,35,,,,,
583,21,68.0,68,,,,,
616,22,33.0,33,,,,,
637,23,21.0,21,,,,,
663,24,26.0,26,,,,,
694,25,31.0,31,,,,,
712,26,18.0,18,,,,,
736,27,24.0,24,,,,,
758,28,22.0,22,,,,,
770,29,12.0,12,,,,,
783,30,13.0,13,,,,,
811,31,28.0,28,,,,,
845,32,34.0,34,,,,,
867,33,22.0,22,,,,,
912,34,45.0,45,,,,,
933,35,21.0,21,,,,,
947,36,14.0,14,,,,,
968,37,21.0,21,,,,,
984,38,16.0,16,,,,,
1000,39,16.0,16,,,,,
1016,40,16.0,16,,,,,
1040,41,24.0,24,,,,,
1056,42,16.0,16,,,,,
1076,43,20.0,20,,,,,
1095,44,19.0,19,,,,,
1112,45,17.0,17,,,,,
1133,46,21.0,21,,,,,
1178,47,45.0,45,,,,,
1200,48,22.0,22,,,,,
1228,49,28.0,28,,,,,
1255,50,27.0,27,,,,,
1269,51,14.0,14,,,,,
1285,52,16.0,16,,,,,
1312,53,27.0,27,,,,,
1326,54,14.0,14,,,,,
1349,55,23.0,23,,,,,
1365,56,16.0,16,,,,,
1377,57,12.0,12,,,,,
1405,58,28.0,28,,,,,
1424,59,19.0,19,,,,,
1437,60,13.0,13,,,,,
1468,61,31.0,31,,,,,
1509,62,41.0,41,,,,,
1539,63,30.0,30,,,,,
1549,64,10.0,10,,,,,
1566,65,17.0,17,,,,,
1612,66,46.0,46,,,,,
1649,67,37.0,37,,,,,
1675,68,26.0,26,,,,,
1700,69,25.0,25,,,,,
1721,70,21.0,21,,,,,
1747,71,26.0,26,,,,,
1766,72,19.0,19,,,,,
1781,73,15.0,15,,,,,
1794,74,13.0,13,,,,,
1811,75,17.0,17,,,,,
1821,76,10.0,10,,,,,
1838,77,17.0,17,,,,,
1876,78,38.0,38,,,,,
1887,79,11.0,11,,,,,
1902,80,15.0,15,,,,,
1914,81,12.0,12,,,,,
1959,82,45.0,45,,,,,
1986,83,27.0,27,,,,,
2002,84,16.0,16,,,,,
2012,85,10.0,10,,,,,
2044,86,32.0,32,,,,,
2048,87,,,-0.013063751845038496,46.26819512844086,0.679751954227686,0.00655038228904097,
2079,87,35.0,35,,,,,
2098,88,19.0,19,,,,,
2137,89,39.0,39,,,,,
2182,90,45.0,45,,,,,
2205,91,23.0,23,,,,,
2222,92,17.0,17,,,,,
2244,93,22.0,22,,,,,
2272,94,28.0,28,,,,,
2312,95,40.0,40,,,,,
2358,96,46.0,46,,,,,
2377,97,19.0,19,,,,,
2416,98,39.0,39,,,,,
2432,99,16.0,16,,,,,
2470,100,38.0,38,,,,,
2487,101,17.0,17,,,,,
2526,102,39.0,39,,,,,
2553,103,27.0,27,,,,,
2567,104,14.0,14,,,,,
2595,105,28.0,28,,,,,
2637,106,42.0,42,,,,,
2657,107,20.0,20,,,,,
2761,108,104.0,104,,,,,
2774,109,13.0,13,,,,,
2790,110,16.0,16,,,,,
2813,111,23.0,23,,,,,
2825,112,12.0,12,,,,,
2866,113,41.0,41,,,,,
2898,114,32.0,32,,,,,
2932,115,34.0,34,,,,,
2967,116,35.0,35,,,,,
2987,117,20.0,20,,,,,
3035,118,48.0,48,,,,,
3044,119,9.0,9,,,,,
3059,120,15.0,15,,,,,
3093,121,34.0,34,,,,,
3110,122,17.0,17,,,,,
3126,123,16.0,16,,,,,
3166,124,40.0,40,,,,,
3183,125,17.0,17,,,,,
3231,126,48.0,48,,,,,
3257,127,26.0,26,,,,,
3288,128,31.0,31,,,,,
3305,129,17.0,17,,,,,
3347,130,42.0,42,,,,,
3368,131,21.0,21,,,,,
3380,132,12.0,12,,,,,
3432,133,52.0,52,,,,,
3452,134,20.0,20,,,,,
3498,135,46.0,46,,,,,
3516,136,18.0,18,,,,,
3566,137,50.0,50,,,,,
3606,138,40.0,40,,,,,
3646,139,40.0,40,,,,,
3662,140,16.0,16,,,,,
3685,141,23.0,23,,,,,
3700,142,15.0,15,,,,,
3747,143,47.0,47,,,,,
3778,144,31.0,31,,,,,
3795,145,17.0,17,,,,,
3810,146,15.0,15,,,,,
3836,147,26.0,26,,,,,
3907,148,71.0,71,,,,,
3923,149,16.0,16,,,,,
3945,150,22.0,22,,,,,
3958,151,13.0,13,,,,,
4010,152,52.0,52,,,,,
4022,153,12.0,12,,,,,
4039,154,17.0,17,,,,,
4061,155,22.0,22,,,,,
4080,156,19.0,19,,,,,
4096,157,,,-0.014163763055694289,54.138588225841524,0.6630238892510534,0.00570961586741419,
4111,157,31.0,31,,,,,
4191,158,80.0,80,,,,,
4213,159,22.0,22,,,,,
4230,160,17.0,17,,,,,
4256,161,26.0,26,,,,,
4286,162,30.0,30,,,,,
4334,163,48.0,48,,,,,
4377,164,43.0,43,,,,,
4433,165,56.0,56,,,,,
4473,166,40.0,40,,,,,
4512,167,39.0,39,,,,,
4558,168,46.0,46,,,,,
4578,169,20.0,20,,,,,
4595,170,17.0,17,,,,,
4691,171,96.0,96,,,,,
4753,172,62.0,62,,,,,
4786,173,33.0,33,,,,,
4849,174,63.0,63,,,,,
4872,175,23.0,23,,,,,
4894,176,22.0,22,,,,,
4938,177,44.0,44,,,,,
4973,178,35.0,35,,,,,
5016,179,43.0,43,,,,,
5033,180,17.0,17,,,,,
5065,181,32.0,32,,,,,
5173,182,108.0,108,,,,,
5198,183,25.0,25,,,,,
5328,184,130.0,130,,,,,
5534,185,206.0,206,,,,,
5570,186,36.0,36,,,,,
5590,187,20.0,20,,,,,
5675,188,85.0,85,,,,,
5718,189,43.0,43,,,,,
5741,190,23.0,23,,,,,
5770,191,29.0,29,,,,,
5795,192,25.0,25,,,,,
5850,193,55.0,55,,,,,
5877,194,27.0,27,,,,,
5920,195,43.0,43,,,,,
5979,196,59.0,59,,,,,
6009,197,30.0,30,,,,,
6055,198,46.0,46,,,,,
6117,199,62.0,62,,,,,
6144,200,,,-0.015610167372506112,75.22833349704743,0.6467952331528067,0.005921541289635006,
6179,200,62.0,62,,,,,
6213,201,34.0,34,,,,,
6327,202,114.0,114,,,,,
6346,203,19.0,19,,,,,
6444,204,98.0,98,,,,,
6531,205,87.0,87,,,,,
6580,206,49.0,49,,,,,
6636,207,56.0,56,,,,,
6719,208,83.0,83,,,,,
6737,209,18.0,18,,,,,
6786,210,49.0,49,,,,,
6883,211,97.0,97,,,,,
7005,212,122.0,122,,,,,
7030,213,25.0,25,,,,,
7079,214,49.0,49,,,,,
7128,215,49.0,49,,,,,
7170,216,42.0,42,,,,,
7270,217,100.0,100,,,,,
7362,218,92.0,92,,,,,
